ckey,lat,long,alt
D10_20190202_211438_9653,31.52375,-95.45694,13
D10_20190202_211438_9653,31.52272,-95.45427,13
D10_20190202_211438_9653,31.52187,-95.45221,13
D10_20190202_211438_9653,31.52084,-95.44962,13
D10_20190202_211438_9653,31.51987,-95.4471,13
D10_20190202_211438_9653,31.51877,-95.44458,13
D10_20190202_211438_9653,31.51793,-95.44237,13
D10_20190202_211438_9653,31.51689,-95.44,13
D10_20190202_211438_9653,31.51592,-95.43749,13
D10_20190202_211438_9653,31.51501,-95.43527,13
D10_20190202_211438_9653,31.5141,-95.43298,13
D10_20190202_211438_9653,31.51307,-95.43054,13
D10_20190202_211438_9653,31.5121,-95.42818,13
D10_20190202_211438_9653,31.51125,-95.42612,13
D10_20190202_211438_9653,31.51035,-95.42391,13
D10_20190202_211438_9653,31.50944,-95.42169,13
D10_20190202_211438_9653,31.50853,-95.41941,13
D10_20190202_211438_9653,31.50763,-95.41719,13
D10_20190202_211438_9653,31.50665,-95.41475,13
D10_20190202_211438_9653,31.50562,-95.41216,13
D10_20190202_211438_9653,31.50478,-95.4101,13
D10_20190202_211438_9653,31.5038,-95.40774,13
D10_20190202_211438_9653,31.50296,-95.40568,13
D10_20190202_211438_9653,31.50192,-95.40316,13
D10_20190202_211438_9653,31.50089,-95.40057,13
D10_20190202_211438_9653,31.49998,-95.39835,13
D10_20190202_211438_9653,31.49914,-95.3963,13
D10_20190202_211438_9653,31.4983,-95.39424,13
D10_20190202_211438_9653,31.49745,-95.39218,13
D10_20190202_211438_9653,31.49648,-95.38981,13
D10_20190202_211438_9653,31.49551,-95.3876,14
D10_20190202_211438_9653,31.4946,-95.38524,13
D10_20190202_211438_9653,31.49363,-95.38295,13
D10_20190202_211438_9653,31.49272,-95.38059,13
D10_20190202_211438_9653,31.49181,-95.37838,13
D10_20190202_211438_9653,31.49084,-95.37601,13
D10_20190202_211438_9653,31.49026,-95.37441,13
D10_20190202_211438_9653,31.48902,-95.37144,13
D10_20190202_211438_9653,31.48805,-95.369,13
D10_20190202_211438_9653,31.48715,-95.36618,14
D10_20190202_211438_9653,31.4863,-95.36328,13
D10_20190202_211438_9653,31.48553,-95.36054,13
D10_20190202_211438_9653,31.48482,-95.35833,13
D10_20190202_211438_9653,31.48384,-95.35558,13
D10_20190202_211438_9653,31.483,-95.35345,13
D10_20190202_211438_9653,31.4819,-95.35078,13
